,bundleId,count
17,com.yourcompany.PPClient,2
0,app.nicegram,1
1,com.apple.Keynote,1
24,ph.telegra.Telegraph,1
23,jp.co.yahoo.YAuction,1
22,jp.co.yahoo.Shopping,1
21,jp.co.americanexpress.amexservice,1
20,jhx.LawCN,1
19,hk.com.hsbc.hsbchkmobilebanking,1
18,ctrip.com,1
16,com.youku.YouKu,1
15,com.viettel.ttnd.vietteldiscovery,1
14,com.tencent.xin,1
13,com.tencent.live4iphone,1
12,com.shazam.Shazam,1
11,com.sc.breezehk,1
10,com.openai.chat,1
9,com.nordvpn.NordVPN,1
8,com.mbc.reddi,1
7,com.ledger.live,1
6,com.hikvision.videogo,1
5,com.google.Authenticator,1
4,com.czzhao.binance,1
3,com.bnimbanking.BNI-mBanking,1
2,com.apple.Numbers,1
25,youdao.trans,1
